id,issue_name,issue_dt,cover,issue,,,,,,,,1468,1290
1469,№ 6 (77),2002-03-29 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1469/issue.pdf,,,,,,,,,
1393,№ 7 (78),2002-04-12 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1393/issue.pdf,,,,,,,,,
1367,№ 8 (79),2002-04-26 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1367/issue.pdf,,,,,,,,,
1161,№ 9 (80),2002-05-10 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1161/issue.pdf,,,,,,,,,
1254,№ 10 (81),2002-05-24 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1254/issue.pdf,,,,,,,,,
1200,№ 11 (82),2002-06-07 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1200/issue.pdf,,,,,,,,,
1199,№ 12 (83),2002-06-21 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1199/issue.pdf,,,,,,,,,
1113,№ 13 (84),2002-07-05 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1113/issue.pdf,,,,,,,,,
1294,№ 14 (85),2002-07-19 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1294/issue.pdf,,,,,,,,,
1348,№ 15 (86),2002-08-02 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1348/issue.pdf,,,,,,,,,
1352,№ 16 (87),2002-08-30 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1352/issue.pdf,,,,,,,,,
1108,№ 17 (88),2002-09-13 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1108/issue.pdf,,,,,,,,,
1125,№ 18 (89),2002-09-27 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1125/issue.pdf,,,,,,,,,
1449,№ 19 (90),2002-10-11 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1449/issue.pdf,,,,,,,,,
1430,№ 20 (91),2002-10-25 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1430/issue.pdf,,,,,,,,,
1388,№ 21 (92),2002-11-08 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1388/issue.pdf,,,,,,,,,
1384,№ 22 (93),2002-11-22 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1384/issue.pdf,,,,,,,,,
1274,№ 23 (94),2002-12-06 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1274/issue.pdf,,,,,,,,,
1128,№ 24 (95),2002-12-20 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1128/issue.pdf,,,,,,,,,
1417,№ 1 (96),2003-01-17 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1417/issue.pdf,,,,,,,,,
1418,№ 2 (97),2003-01-31 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1418/issue.pdf,,,,,,,,,
1207,№ 3 (98),2003-02-14 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1207/issue.pdf,,,,,,,,,
1357,№ 4 (99),2003-02-28 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1357/issue.pdf,,,,,,,,,
1220,№ 5 (100),2003-03-14 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1220/issue.pdf,,,,,,,,,
1395,№ 6 (101),2003-03-28 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1395/issue.pdf,,,,,,,,,
